"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220501 ~ 20230430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","74.9296","202302","11","46,000","25","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202302","11","49,000","11","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202302","14","48,300","20","2022","대명로14길 60","","중개거래","대구 남구, 대구 달성군"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","114.7188","202302","17","65,000","14","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202302","28","47,330","6","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","114.7188","202303","15","65,000","21","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202303","21","53,000","19","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202303","25","50,000","8","2022","대명로14길 60","","중개거래","대구 남구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.9194","202303","27","49,900","15","2022","대명로14길 60","","중개거래","대구 남구, 대구 달서구"
"대구광역시 남구 대명동","3072","3072","0000","대명역센트럴엘리프","84.6292","202304","1","46,500","5","2022","대명로14길 60","","중개거래","대구 남구"
