"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180101 ~ 20180430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201801","11","15,500","8","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201801","20","16,600","4","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201803","6","16,800","6","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201803","26","18,400","4","1980","대명로 117","","-","-"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201801","2","11,000","5","1983","대경길 258","","-","-"
"대구광역시 남구 대명동","3008","3008","0000","경북","71.28","201802","7","12,400","5","1983","대경길 258","","-","-"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201802","10","13,500","4","1983","대경길 258","","-","-"
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","81.33","201803","19","12,300","1","1980","명덕로20길 12","","-","-"
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","60.875","201802","13","12,200","2","1982","두류공원로17길 39","","-","-"
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","60.73","201803","7","13,150","1","1982","두류공원로17길 39","","-","-"
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201801","3","25,000","6","2015","대명복개로4길 104","","-","-"
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201801","5","24,000","6","2015","대명복개로4길 104","","-","-"
"대구광역시 남구 대명동","3029-42","3029","0042","노블캐슬","80.95","201802","1","21,500","4","2016","대경길 125","","-","-"
"대구광역시 남구 대명동","3007-34","3007","0034","대명(3007-34)","84.98","201804","11","15,000","3","1991","대경길 222","","-","-"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","201802","21","14,000","3","1983","중앙대로31길 79","","-","-"
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","83.16","201804","13","17,000","2","1983","중앙대로31길 79","","-","-"
"대구광역시 남구 대명동","3000-12","3000","0012","대명하이츠","28.65","201802","7","9,850","7","2001","양지남길 57","","-","-"
"대구광역시 남구 대명동","3000-12","3000","0012","대명하이츠","71.63","201803","26","16,600","5","2001","양지남길 57","","-","-"
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","81.4244","201801","5","25,700","5","2017","현충로 245","","-","-"
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","81.4244","201801","12","25,000","4","2017","현충로 245","","-","-"
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","81.4244","201804","7","24,800","3","2017","현충로 245","","-","-"
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","72.78","201801","15","15,700","8","1992","현충서길 29","","-","-"
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","84.96","201804","9","19,500","12","1992","현충서길 29","","-","-"
"대구광역시 남구 대명동","1623-14","1623","0014","드림팰리스","84.0838","201803","7","31,000","5","2016","대명로 83","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201801","12","22,300","3","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","201802","6","15,250","1","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","10","20,900","8","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","12","21,000","2","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","24","19,500","10","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","28","22,600","11","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","201803","1","17,000","2","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","120.84","201803","5","26,000","5","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201803","5","22,900","11","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","120.84","201803","27","30,000","11","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","201803","27","15,700","5","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201804","6","21,000","8","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","201804","14","17,550","12","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201804","27","20,000","6","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","201804","30","16,300","3","1998","큰골길 200","","-","-"
"대구광역시 남구 대명동","3044-8","3044","0008","비취맨션","84.935","201801","10","17,000","3","1983","두류공원로 88","","-","-"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","201802","14","8,900","2","1980","대명서로 17","","-","-"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","201803","30","9,500","3","1980","대명서로 17","","-","-"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","201804","10","8,700","2","1980","대명서로 17","","-","-"
"대구광역시 남구 대명동","1598-8","1598","0008","삼정비취(1598-8)","84.885","201802","13","18,500","4","1989","대명복개로3길 32","","-","-"
"대구광역시 남구 대명동","1598-8","1598","0008","삼정비취(1598-8)","84.885","201802","14","14,900","3","1989","대명복개로3길 32","","-","-"
"대구광역시 남구 대명동","1701-2","1701","0002","새한(1701-2)","73.19","201801","30","15,950","4","1979","대명로49길 38","","-","-"
"대구광역시 남구 대명동","1631-1","1631","0001","세신(1631-1)","53.9","201804","30","9,350","5","1982","대명복개로 192","","-","-"
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","57.42","201801","12","13,000","2","1980","두류공원로 72","","-","-"
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","55.47","201801","15","12,000","5","1980","두류공원로 72","","-","-"
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","62.02","201802","20","13,500","5","1980","두류공원로 72","","-","-"
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","55.47","201803","18","14,500","5","1980","두류공원로 72","","-","-"
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","57.42","201804","25","13,700","4","1980","두류공원로 72","","-","-"
"대구광역시 남구 대명동","1593-9","1593","0009","스카이파크","62.29","201801","8","25,500","3","2017","대명로 41","","-","-"
"대구광역시 남구 대명동","1593-9","1593","0009","스카이파크","78.47","201801","24","29,800","5","2017","대명로 41","","-","-"
"대구광역시 남구 대명동","1593-9","1593","0009","스카이파크","62.29","201801","24","26,000","7","2017","대명로 41","","-","-"
"대구광역시 남구 대명동","1593-9","1593","0009","스카이파크","78.47","201802","1","29,300","3","2017","대명로 41","","-","-"
"대구광역시 남구 대명동","1593-9","1593","0009","스카이파크","78.47","201804","9","29,800","9","2017","대명로 41","","-","-"
"대구광역시 남구 대명동","1593-9","1593","0009","스카이파크","78.47","201804","30","29,800","10","2017","대명로 41","","-","-"
"대구광역시 남구 대명동","1638-5","1638","0005","용마맨션","104.59","201803","17","22,300","9","1979","대명로 145","","-","-"
"대구광역시 남구 대명동","1638-5","1638","0005","용마맨션","71.57","201803","30","18,200","6","1979","대명로 145","","-","-"
"대구광역시 남구 대명동","1210-8","1210","0008","우방뉴-코스모스","75.7575","201801","20","19,700","5","1983","대명로10길 6","","-","-"
"대구광역시 남구 대명동","1210-8","1210","0008","우방뉴-코스모스","69.12","201801","25","18,700","3","1983","대명로10길 6","","-","-"
"대구광역시 남구 대명동","1210-8","1210","0008","우방뉴-코스모스","84.745","201802","7","25,000","4","1983","대명로10길 6","","-","-"
"대구광역시 남구 대명동","1210-8","1210","0008","우방뉴-코스모스","75.7575","201802","8","21,250","5","1983","대명로10길 6","","-","-"
"대구광역시 남구 대명동","1210-8","1210","0008","우방뉴-코스모스","69.12","201803","12","19,900","1","1983","대명로10길 6","","-","-"
"대구광역시 남구 대명동","1210-8","1210","0008","우방뉴-코스모스","75.7575","201804","26","21,300","2","1983","대명로10길 6","","-","-"
"대구광역시 남구 대명동","1111","1111","0000","우방코스모스","56.05","201801","5","16,800","4","1981","대명서7길 112","","-","-"
"대구광역시 남구 대명동","1111","1111","0000","우방코스모스","56.05","201801","20","17,000","4","1981","대명서7길 112","","-","-"
"대구광역시 남구 대명동","1111","1111","0000","우방코스모스","51.94","201801","22","16,300","4","1981","대명역2길 41","","-","-"
"대구광역시 남구 대명동","1111","1111","0000","우방코스모스","56.05","201803","24","17,950","4","1981","대명서7길 112","","-","-"
"대구광역시 남구 대명동","3042-32","3042","0032","이-파크","80.2675","201802","6","20,900","16","2005","성당로 142","","-","-"
"대구광역시 남구 대명동","3042-32","3042","0032","이-파크","107.2627","201802","8","24,000","11","2005","성당로 142","","-","-"
"대구광역시 남구 대명동","1132-3","1132","0003","조은하이빌","84.85","201802","7","21,300","3","2003","관문시장1길 18","","-","-"
"대구광역시 남구 대명동","1132-3","1132","0003","조은하이빌","84.85","201803","13","23,800","3","2003","관문시장1길 18","","-","-"
"대구광역시 남구 대명동","1132-3","1132","0003","조은하이빌","84.85","201804","3","21,400","4","2003","관문시장1길 18","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","201801","1","13,500","10","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","201801","28","15,200","11","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","201802","1","12,000","3","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","58.54","201802","9","15,000","1","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","201802","9","16,000","8","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","201802","14","11,000","5","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","58.54","201802","24","17,200","3","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","201802","25","13,000","1","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","52.24","201803","1","15,500","10","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","58.54","201803","1","16,000","4","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","201803","19","12,000","4","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","56.88","201803","21","14,840","7","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","82.49","201803","29","18,500","1","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","58.54","201804","9","13,500","2","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","1633","1633","0000","파크맨션","58.54","201804","21","17,350","1","1980","대명복개로 230","","-","-"
"대구광역시 남구 대명동","2014-437","2014","0437","효동","81.89","201804","20","16,500","4","2004","중앙대로46길 29","","-","-"
"대구광역시 남구 대명동","3055-81","3055","0081","흥아맨션","73.223","201802","22","17,000","2","1980","성당로 64","","-","-"
