,시군구+도로명,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),건축년도,계약년월일,경도,위도,역세권,의원수,요양병원유무,경찰서유무,학교수,버스정류장수,세대수,주차대수,욕실수,방수,최고층,건설사,시군구,매매물가지수
1236,대구광역시 달서구 상화로21길 55,제림하나로,84.96,202303,29,"20,000",1995.0,20230329,128.523774927,35.810538458,1,31,0,1,0,11,254.0,254.0,2.0,3.0,19.0,0,달서구,78.822
1237,대구광역시 달서구 상화로21길 56,월송(가동),55.985,202212,21,"12,500",1982.0,20221221,128.524746214,35.810959255,1,40,1,1,0,12,100.0,0.0,1.0,3.0,5.0,0,달서구,85.525
1238,대구광역시 달서구 상화로5길 23,진천태왕아너스1단지,105.2243,202302,1,"32,000",2008.0,20230201,128.51840174,35.810430675,1,14,0,1,0,13,182.0,255.0,2.0,3.0,15.0,0,달서구,80.253
1239,대구광역시 달서구 상화로5길 23,진천태왕아너스1단지,115.7724,202009,21,"40,000",2008.0,20200921,128.51840174,35.810430675,1,14,0,1,0,13,182.0,255.0,2.0,4.0,15.0,0,달서구,86.849
1240,대구광역시 달서구 상화로5길 23,진천태왕아너스1단지,84.068,202304,9,"27,300",2008.0,20230409,128.51840174,35.810430675,1,14,0,1,0,13,182.0,255.0,2.0,3.0,15.0,0,달서구,77.727
1241,대구광역시 달서구 상화로5길 23,진천태왕아너스1단지,84.9684,202303,27,"27,900",2008.0,20230327,128.51840174,35.810430675,1,14,0,1,0,13,182.0,255.0,2.0,3.0,15.0,0,달서구,78.822
1242,대구광역시 달서구 상화로5길 24,진천태왕아너스2단지,102.0606,202301,2,"37,000",2008.0,20230102,128.518896563,35.810011611,1,12,0,1,0,15,165.0,234.0,2.0,3.0,15.0,0,달서구,82.874
1243,대구광역시 달서구 상화로5길 24,진천태왕아너스2단지,105.2243,202303,6,"39,600",2008.0,20230306,128.518896563,35.810011611,1,12,0,1,0,15,165.0,234.0,2.0,3.0,15.0,0,달서구,78.822
1244,대구광역시 달서구 상화로5길 24,진천태왕아너스2단지,84.068,202112,15,"35,000",2008.0,20211215,128.518896563,35.810011611,1,12,0,1,0,15,165.0,234.0,2.0,3.0,15.0,0,달서구,100.245
1245,대구광역시 달서구 상화로5길 24,진천태왕아너스2단지,84.9684,202304,29,"28,000",2008.0,20230429,128.518896563,35.810011611,1,12,0,1,0,15,165.0,234.0,2.0,3.0,15.0,0,달서구,77.727
