정류장명,위도,경도
우방유쉘A,35.8166,128.7316
장산중 건너,35.8181,128.7299
조곡복지센터,35.7705,128.8134
조곡복지센터 건너,35.7705,128.8135
장산중,35.819,128.7295
한의대(경산방향),35.79767,128.7772
옥산농협 건너,35.8232,128.7226
옥산농협,35.8231,128.723
조곡리교회 건너,35.7714,128.815
상방주공A 건너,35.8138,128.741
조곡리교회,35.7714,128.8151
반곡리(경산방향),35.7782,128.8038
상방주공A,35.81376,128.7413
반곡리,35.7782,128.8037
상대리(경산방향),35.7837,128.796
상대리(상대방향),35.7837,128.7959
연하리(사림방향),35.7645,128.83
향교네거리(혜광사),35.818,128.73703
향교네거리(혜광사건너),35.8182,128.737
안심리보건진료소,35.7636,128.8327
사거지(조곡방향),35.7733,128.8169
사거지(남산방향),35.7734,128.817
현수관(경산방향),35.79905,128.77291
남산휴게소 건너,35.7546,128.8504
남산휴게소,35.7544,128.8505
삼북주공A,35.8184,128.7414
삼북주공A 건너,35.8186,128.7414
옥산2지구주차장건너,35.8276,128.7272
점촌(경산방향),35.8026,128.7721
옥산2지구주차장,35.8276,128.7273
사동초원파크 건너,35.8145,128.7514
사동초원파크 앞,35.8146,128.7514
송내지입구(남산방향),35.7763,128.8185
점촌(한의대방향),35.8031,128.7721
당고개(갈고개방향),35.7627,128.8425
당고개(남산방향),35.763,128.8425
반곡2리(반곡방향),35.7839,128.8077
점촌입구(한의대방향),35.8047,128.7721
점촌입구(경산방향),35.8048,128.7722
옥산현대A,35.8291,128.7289
옥산현대A 건너,35.8294,128.7286
사동부영3차A 건너,35.8138,128.7573
사동부영3차A,35.8139,128.7575
시민회관앞,35.8192,128.7481
이마트 건너,35.8338,128.7218
시민회관 건너,35.8193,128.7482
계양시장,35.8177,128.7519
사동부영1차A 건너,35.8122,128.7618
계양시장 건너,35.8179,128.7519
동부우체국(사동방향),35.8172,128.7532
사동부영1차A,35.8122,128.7623
한국산업연수원 건너,35.7705,128.8343
동부우체국(대구방향),35.8173,128.7533
반곡2리(경산방향),35.78613,128.80971
옥산태왕귀빈타운,35.8315,128.7277
한국산업연수원,35.7707,128.8343
성남경로당,35.7697,128.8362
옥산태왕한라타운,35.8321,128.7272
평기리(평기방향),35.7686,128.8383
사동우방A후문,35.8159,128.7566
평기리(갈고개방향),35.7687,128.8383
평기리(남산방향),35.7686,128.8385
사동우방A후문 건너,35.8158,128.757
사동중,35.81503,128.75862
사동중 건너,35.8148,128.7594
정평초교,35.8309,128.7307
정평초교 건너,35.831,128.7306
하대2리(경산방향),35.7916,128.8005
경산보건소,35.824,128.7434
동부파출소 건너,35.8214,128.7482
농산물집하장입구(상대방향),35.7918,128.8005
동부파출소,35.8214,128.7485
경산우체국,35.816,128.7584
시립박물관 건너,35.8139,128.7644
경산우체국 건너,35.8172,128.7592
하대2리(상대방향),35.7938,128.8012
해뜨는요양병원,35.81994,128.75548
시립박물관,35.815,128.7644
평산입구2(한의대방향),35.81,128.7733
해뜨는요양병원 건너,35.8204,128.7552
경산세무소,35.8177,128.7599
등기소,35.8181,128.7597
등기소 건너,35.8185,128.7593
사동원룸단지(자인방향),35.8168,128.7626
전지2리(경산방향),35.7885,128.8122
전지2리(반곡방향),35.7885,128.8122
우검1리(남산방향),35.7749,128.8354
사동원룸단지(경산방향),35.8172,128.7623
경북권역재활병원,35.816,128.7653
경북권역재활병원 건너,35.8163,128.7655
정평한솔A(종점),35.838,128.7268
구삼성초교입구(경산방향),35.79623,128.8024
송내리1(남산방향),35.7817,128.8272
갑제삼거리(경산방향),35.8153,128.7689
하대리4(상대방향),35.7963,128.8023
