,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,시군구+도로명+면적,시군구+도로명,계약년월일,경도,위도
5015,대구광역시 수성구 범물동,1279,1279,0,범물보성타운,64.63,202304,3,"20,500",6,1992.0,지범로39길 56,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로39길 56 64.63,대구광역시 수성구 범물동 지범로39길 56,20230403,128.643631138,35.821253988
5016,대구광역시 수성구 범물동,1279,1279,0,범물보성타운,69.39,202203,10,"22,800",7,1992.0,지범로39길 56,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로39길 56 69.39,대구광역시 수성구 범물동 지범로39길 56,20220310,128.643631138,35.821253988
5017,대구광역시 수성구 범물동,1279,1279,0,범물보성타운,71.97,201909,24,"22,500",10,1992.0,지범로39길 56,,-,-,대구광역시 수성구 범물동 지범로39길 56 71.97,대구광역시 수성구 범물동 지범로39길 56,20190924,128.643631138,35.821253988
5018,대구광역시 수성구 범물동,1279,1279,0,범물보성타운,84.94,202211,8,"26,900",12,1992.0,지범로39길 56,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로39길 56 84.94,대구광역시 수성구 범물동 지범로39길 56,20221108,128.643631138,35.821253988
5019,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,133.92,202304,22,"42,500",8,1992.0,지범로40길 11,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로40길 11 133.92,대구광역시 수성구 범물동 지범로40길 11,20230422,128.641298722,35.818999226
5020,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,65.97,202302,20,"22,700",5,1992.0,지범로40길 11,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로40길 11 65.97,대구광역시 수성구 범물동 지범로40길 11,20230220,128.641298722,35.818999226
5021,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,84.575,202302,27,"32,000",12,1992.0,지범로40길 11,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로40길 11 84.575,대구광역시 수성구 범물동 지범로40길 11,20230227,128.641298722,35.818999226
5022,대구광역시 수성구 범물동,1332,1332,0,"범물에덴,신화아파트",83.46,202304,14,"25,000",4,1992.0,지범로40길 6,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로40길 6 83.46,대구광역시 수성구 범물동 지범로40길 6,20230414,128.640086770,35.818533745
5023,대구광역시 수성구 범물동,1332,1332,0,"범물에덴,신화아파트",84.94,202303,7,"26,300",3,1992.0,지범로40길 6,20230425.0,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로40길 6 84.94,대구광역시 수성구 범물동 지범로40길 6,20230307,128.640086770,35.818533745
5024,대구광역시 수성구 범물동,697-1,697,1,보성송정타운,134.92,202204,5,"43,300",16,1995.0,지범로46길 43,,중개거래,대구 수성구,대구광역시 수성구 범물동 지범로46길 43 134.92,대구광역시 수성구 범물동 지범로46길 43,20220405,128.642935165,35.813987022
