,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,백조맨션,83B㎡,대구시 달성군 현풍읍 성하리 439-5,대구시 달성군 비슬로136길 28,35.696061,128.442303,19.0,0.0,5.0,4.0,153,39,13.0,(주)광덕종합건설,HT001,83.02,75.81,91,3,2,10,계단식,15840.0,63360.0,3168.0,44352.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
1,백조맨션,83A㎡,대구시 달성군 현풍읍 성하리 439-5,대구시 달성군 비슬로136길 28,35.696061,128.442303,19.0,0.0,5.0,4.0,153,39,13.0,(주)광덕종합건설,HT001,83.44,75,90,3,2,4,계단식,15840.0,63360.0,3168.0,44352.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
2,백조맨션,92,대구시 달성군 현풍읍 성하리 439-5,대구시 달성군 비슬로136길 28,35.696061,128.442303,19.0,0.0,5.0,4.0,153,39,13.0,(주)광덕종합건설,HT001,92.95,84.87,91,3,2,5,계단식,17055.0,68220.0,3411.0,47754.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
0,우리,53㎡,대구시 달성군 현풍읍 부리 140,대구시 달성군 현풍동로27길 13,35.699576,128.447277,40.0,0.0,5.0,5.0,0,0,0.0,,HT001,53.87,39.06,73,2,1,30,계단식,4973.0,19891.0,995.0,13923.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
1,우리,59,대구시 달성군 현풍읍 부리 140,대구시 달성군 현풍동로27길 13,35.699576,128.447277,40.0,0.0,5.0,5.0,0,0,0.0,,HT001,59.5,43.74,74,2,1,10,계단식,5288.0,21151.0,1058.0,14805.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
0,제일,59B㎡,대구시 달성군 현풍읍 중리 94-2,대구시 달성군 현풍로24길 6,35.696419,128.451498,72.0,0.0,10.0,6.0,0,0,0.0,,HT001,59.95,59.95,100,2,1,20,계단식,14963.0,59851.0,2993.0,41895.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
1,제일,59A㎡,대구시 달성군 현풍읍 중리 94-2,대구시 달성군 현풍로24길 6,35.696419,128.451498,72.0,0.0,10.0,6.0,0,0,0.0,,HT001,59.76,59.76,100,2,1,19,계단식,14715.0,58860.0,2943.0,41202.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
2,제일,64㎡,대구시 달성군 현풍읍 중리 94-2,대구시 달성군 현풍로24길 6,35.696419,128.451498,72.0,0.0,10.0,6.0,0,0,0.0,,HT001,64.74,64.74,100,2,1,10,계단식,15975.0,63900.0,3195.0,44730.0,0.0,0.0,0.0,,,,"1억 2,000",,,,대구현풍초등학교,공립,140.0,140.0
3,제일,69,대구시 달성군 현풍읍 중리 94-2,대구시 달성군 현풍로24길 6,35.696419,128.451498,72.0,0.0,10.0,6.0,0,0,0.0,,HT001,69.87,69.87,100,2,1,23,계단식,16718.0,66871.0,3344.0,46809.0,0.0,0.0,0.0,,,,1억,,,,대구현풍초등학교,공립,140.0,140.0
0,제일탑스빌,113㎡,대구시 달성군 현풍읍 중리 103-2,대구시 달성군 현풍동로 47-1,35.694838,128.450174,19.0,0.0,7.0,6.0,177,32,19.0,(주)제일주택건설,HT001,113.8,84.88,75,3,2,18,계단식,22163.0,88651.0,4433.0,62055.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
1,제일탑스빌,214,대구시 달성군 현풍읍 중리 103-2,대구시 달성군 현풍동로 47-1,35.694838,128.450174,19.0,0.0,7.0,6.0,177,32,19.0,(주)제일주택건설,HT001,214.8,160.21,75,5,3,1,계단식,26325.0,105300.0,5265.0,73710.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
0,제일풍경채더퍼스트,86㎡,대구시 달성군 현풍읍 중리 484,대구시 달성군 테크노상업로 49,35.69411,128.454247,601.0,0.0,18.0,11.0,189,20,725.0,제일건설(주),HT001,86.6,67.74,78,3,2,160,계단식,54600.0,183960.0,10920.0,118440.0,0.0,0.0,0.0,,154271,155853,"2억 2,000~2억 4,500","1억 5,000~1억 6,000","2,000/75~2,500/70","2,000/75~2,500/70",대구포산초등학교,공립,474.0,456.0
1,제일풍경채더퍼스트,107㎡,대구시 달성군 현풍읍 중리 484,대구시 달성군 테크노상업로 49,35.69411,128.454247,601.0,0.0,18.0,11.0,189,20,725.0,제일건설(주),HT001,107.25,84.19,78,3,2,320,계단식,69900.0,223740.0,13980.0,139860.0,0.0,0.0,0.0,,191740,193705,"2억 5,000~3억 2,000","1억 6,500~2억 2,000","2,000/80","2,000/80",대구포산초등학교,공립,474.0,456.0
2,제일풍경채더퍼스트,108,대구시 달성군 현풍읍 중리 484,대구시 달성군 테크노상업로 49,35.69411,128.454247,601.0,0.0,18.0,11.0,189,20,725.0,제일건설(주),HT001,108.2,84.13,78,4,2,121,계단식,69900.0,223740.0,13980.0,139860.0,0.0,0.0,0.0,,191601,193565,"2억 7,000~3억 2,000",,,,대구포산초등학교,공립,474.0,456.0
0,주공,44㎡,대구시 달성군 현풍읍 원교리 103,대구시 달성군 비슬로120길 13,35.692419,128.443796,230.0,0.0,5.0,5.0,0,0,230.0,대한주택공사,HT001,44.54,39.9,90,2,1,1,계단식,8708.0,34831.0,1742.0,24381.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
1,주공,45㎡,대구시 달성군 현풍읍 원교리 103,대구시 달성군 비슬로120길 13,35.692419,128.443796,230.0,0.0,5.0,5.0,0,0,230.0,대한주택공사,HT001,45.12,39.72,88,2,1,120,계단식,9743.0,38971.0,1949.0,27279.0,0.0,0.0,0.0,,,,"5,900~6,500","4,700",,,대구현풍초등학교,공립,140.0,140.0
2,주공,52A㎡,대구시 달성군 현풍읍 원교리 103,대구시 달성군 비슬로120길 13,35.692419,128.443796,230.0,0.0,5.0,5.0,0,0,230.0,대한주택공사,HT001,52.14,46.74,90,2,1,70,계단식,11903.0,47611.0,2381.0,33327.0,0.0,0.0,0.0,,,,"8,300~8,700",,,,대구현풍초등학교,공립,140.0,140.0
3,주공,52C㎡,대구시 달성군 현풍읍 원교리 103,대구시 달성군 비슬로120길 13,35.692419,128.443796,230.0,0.0,5.0,5.0,0,0,230.0,대한주택공사,HT001,52.5,47.1,90,2,1,34,계단식,11903.0,47611.0,2381.0,33327.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
4,주공,52B,대구시 달성군 현풍읍 원교리 103,대구시 달성군 비슬로120길 13,35.692419,128.443796,230.0,0.0,5.0,5.0,0,0,230.0,대한주택공사,HT001,52.49,47.01,90,2,1,5,계단식,11813.0,47251.0,2363.0,33075.0,0.0,0.0,0.0,,,,,,,,대구현풍초등학교,공립,140.0,140.0
0,학산,34㎡,대구시 달성군 현풍읍 중리 335-1,대구시 달성군 현풍동로 23,35.69338,128.44823,380.0,0.0,5.0,5.0,0,0,380.0,학산산업개발,HT001,34.07,26.77,79,1,1,60,계단식,6908.0,27631.0,1382.0,19341.0,0.0,0.0,0.0,,36641,35793,"4,900~5,700","4,000",200/23~300/25,200/23~300/25,대구현풍초등학교,공립,140.0,140.0
