,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,가든맨션,77㎡,대구시 남구 대명동 산 58-2,대구시 남구 중앙대로31길 79,35.848816,128.586623,110.0,0.0,5.0,5.0,0,0,0.0,,HT001,77.36,69.84,90,3,1,50,계단식,26550.0,106200.0,5310.0,74340.0,0.0,0.0,0.0,18000.0,,,"2억 2,000","9,000",,,남대구초등학교,공립,75.0,66.0
1,가든맨션,88A㎡,대구시 남구 대명동 산 58-2,대구시 남구 중앙대로31길 79,35.848816,128.586623,110.0,0.0,5.0,5.0,0,0,0.0,,HT001,88.21,80.64,91,3,1,20,계단식,29475.0,117900.0,5895.0,82530.0,0.0,0.0,0.0,19000.0,,,"2억 8,500",,,,남대구초등학교,공립,75.0,66.0
2,가든맨션,90B,대구시 남구 대명동 산 58-2,대구시 남구 중앙대로31길 79,35.848816,128.586623,110.0,0.0,5.0,5.0,0,0,0.0,,HT001,90.74,83.16,92,3,1,40,계단식,32550.0,126630.0,6510.0,87570.0,0.0,0.0,0.0,19750.0,,,"3억 2,000",,,,남대구초등학교,공립,75.0,66.0
0,강남골든하이츠,70㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,70.31,61.2,87,2,1,1,계단식,21240.0,84960.0,4248.0,59472.0,0.0,0.0,0.0,18000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
1,강남골든하이츠,71㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,71.27,62.05,87,2,1,1,계단식,21330.0,85320.0,4266.0,59724.0,0.0,0.0,0.0,19000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
2,강남골든하이츠,83㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,83.74,72.9,87,3,1,1,계단식,24750.0,99000.0,4950.0,69300.0,0.0,0.0,0.0,19750.0,,,,,,,대구성명초등학교,공립,125.0,152.0
3,강남골든하이츠,85㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,85.05,74.05,87,3,1,1,계단식,24975.0,99900.0,4995.0,69930.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
4,강남골든하이츠,95A㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,95.98,83.56,87,3,2,5,계단식,28575.0,114300.0,5715.0,80010.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
5,강남골든하이츠,97B,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,97.29,84.7,87,3,2,5,계단식,28800.0,115200.0,5760.0,80640.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
0,개나리맨션,84,대구시 남구 대명동 1635,대구시 남구 대명로 117,35.840471,128.570292,427.0,0.0,10.0,10.0,0,0,130.0,대구주택(주),HT001,84.71,59.8,71,3,1,427,계단식,50100.0,172260.0,10020.0,112140.0,0.0,0.0,0.0,18000.0,158339,166021,"1억 8,000~2억 7,000","1억~1억 5,000","1,000/50~4,000/30","1,000/50~4,000/30",대구대명초등학교,공립,280.0,248.0
0,경북,78㎡,대구시 남구 대명동 3008,대구시 남구 대경길 258,35.848027,128.577154,60.0,0.0,5.0,5.0,0,0,24.0,,HT001,78.73,71.28,91,3,1,15,계단식,27450.0,109800.0,5490.0,76860.0,0.0,0.0,0.0,18000.0,,,"1억 6,500~1억 9,000",,,,대구남도초등학교,공립,290.0,237.0
1,경북,81,대구시 남구 대명동 3008,대구시 남구 대경길 258,35.848027,128.577154,60.0,0.0,5.0,5.0,0,0,24.0,,HT001,81.7,74.25,91,3,1,45,계단식,28800.0,115200.0,5760.0,80640.0,0.0,0.0,0.0,19000.0,,,"1억 6,500~1억 7,500",,"1,000/40","1,000/40",대구남도초등학교,공립,290.0,237.0
0,경일,159㎡,대구시 남구 대명동 1797-69,대구시 남구 중앙대로47길 39,35.854039,128.588247,16.0,0.0,9.0,8.0,232,33,14.0,경일건설주식회사,HT001,159.38,117.03,73,3,2,14,계단식,59550.0,196830.0,11910.0,125370.0,0.0,0.0,0.0,18000.0,,,"3억 9,000",,,,남대구초등학교,공립,75.0,66.0
1,경일,166,대구시 남구 대명동 1797-69,대구시 남구 중앙대로47길 39,35.854039,128.588247,16.0,0.0,9.0,8.0,232,33,14.0,경일건설주식회사,HT001,166.98,122.61,73,3,2,2,계단식,54150.0,182790.0,10830.0,117810.0,0.0,0.0,0.0,19000.0,,,,,,,남대구초등학교,공립,75.0,66.0
0,경일맨션,68㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,68.86,53.95,78,2,1,7,계단식,,,,,,,,19000.0,,,,,,,대구남도초등학교,공립,290.0,237.0
1,경일맨션,84A㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,84.96,66.58,78,3,1,7,계단식,,,,,,,,19750.0,,,,,,,대구남도초등학교,공립,290.0,237.0
2,경일맨션,87B㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,87.18,68.3,78,3,1,7,계단식,,,,,,,,,,,,,,,대구남도초등학교,공립,290.0,237.0
3,경일맨션,89A㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,89.02,69.75,78,3,2,7,계단식,,,,,,,,,,,,,,,대구남도초등학교,공립,290.0,237.0
4,경일맨션,89B㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,89.79,70.35,78,3,2,7,계단식,,,,,,,,,,,,,,,대구남도초등학교,공립,290.0,237.0
5,경일맨션,91A㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,91.07,71.37,78,3,2,6,계단식,,,,,,,,,,,"1억 7,400",,,,대구남도초등학교,공립,290.0,237.0
6,경일맨션,92B,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,92.76,72.69,78,3,1,7,계단식,,,,,,,,18000,,,"1억 4,500",,,,대구남도초등학교,공립,290.0,237.0
0,계명맨션,104㎡,대구시 남구 대명동 2519-5,대구시 남구 명덕로20길 12,35.857128,128.579446,45.0,0.0,5.0,5.0,0,0,0.0,,HT001,104.96,81.33,77,3,2,20,계단식,27900.0,111600.0,5580.0,78120.0,0.0,0.0,0.0,18000.0,,,"2억 5,000~2억 8,000",,500/50,500/50,대구명덕초등학교,공립,190.0,152.0
1,계명맨션,131㎡,대구시 남구 대명동 2519-5,대구시 남구 명덕로20길 12,35.857128,128.579446,45.0,0.0,5.0,5.0,0,0,0.0,,HT001,131.2,103.11,79,3,2,10,계단식,30300.0,120780.0,6060.0,84420.0,0.0,0.0,0.0,19000.0,,,,,,,대구명덕초등학교,공립,190.0,152.0
2,계명맨션,142㎡,대구시 남구 대명동 2519-5,대구시 남구 명덕로20길 12,35.857128,128.579446,45.0,0.0,5.0,5.0,0,0,0.0,,HT001,142.28,112.82,79,4,2,10,계단식,34350.0,131310.0,6870.0,90090.0,0.0,0.0,0.0,19750.0,,,"3억 1,000",,500/50,500/50,대구명덕초등학교,공립,190.0,152.0
3,계명맨션,143,대구시 남구 대명동 2519-5,대구시 남구 명덕로20길 12,35.857128,128.579446,45.0,0.0,5.0,5.0,0,0,0.0,,HT001,143.97,106.67,74,3,2,5,계단식,32100.0,125460.0,6420.0,86940.0,0.0,0.0,0.0,,,,,,,,대구명덕초등학교,공립,190.0,152.0
0,골든뷰파크(주상복합),77㎡,대구시 남구 대명동 3046-1,대구시 남구 성당로 138,35.847386,128.567828,24.0,0.0,10.0,10.0,308,52,24.0,(주)디엘종합건설,HT001,77.41,62.74,81,3,2,6,계단식,,,,,,,,18000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
1,골든뷰파크(주상복합),94㎡,대구시 남구 대명동 3046-1,대구시 남구 성당로 138,35.847386,128.567828,24.0,0.0,10.0,10.0,308,52,24.0,(주)디엘종합건설,HT001,94.38,77.03,82,3,2,9,계단식,,,,,,,,19000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
2,골든뷰파크(주상복합),103,대구시 남구 대명동 3046-1,대구시 남구 성당로 138,35.847386,128.567828,24.0,0.0,10.0,10.0,308,52,24.0,(주)디엘종합건설,HT001,103.08,84.82,82,3,2,9,계단식,,,,,,,,19750.0,,,,,,,대구성명초등학교,공립,125.0,152.0
0,광명맨션,103,대구시 남구 대명동 1821-3,대구시 남구 명덕로34길 30,35.855162,128.587126,32.0,0.0,4.0,4.0,0,0,0.0,,HT001,103.76,83.08,80,3,2,32,계단식,,,,,,,,18000.0,,,2억,"1억 5,000~1억 8,000",,,남대구초등학교,공립,75.0,66.0
0,교대역동서프라임36.5,96㎡,대구시 남구 대명동 3060,대구시 남구 이천로19길 81,35.850993,128.594397,268.0,0.0,18.0,8.0,228,21,342.0,(주)동서개발,HT001,96.7,73.59,76,3,2,1,계단식,106800.0,319680.0,21360.0,191520.0,0.0,0.0,0.0,18000.0,152613,160289,"4억 2,000","2억 7,000","2,000/100~1억/70","2,000/100~1억/70",대구영선초등학교,공립,171.0,156.0
1,교대역동서프라임36.5,98㎡,대구시 남구 대명동 3060,대구시 남구 이천로19길 81,35.850993,128.594397,268.0,0.0,18.0,8.0,228,21,342.0,(주)동서개발,HT001,98.14,76.24,78,3,2,82,계단식,112200.0,333720.0,22440.0,199080.0,0.0,0.0,0.0,19000.0,158110,166062,"3억 1,500~4억 9,000",,,,대구영선초등학교,공립,171.0,156.0
2,교대역동서프라임36.5,102㎡,대구시 남구 대명동 3060,대구시 남구 이천로19길 81,35.850993,128.594397,268.0,0.0,18.0,8.0,228,21,342.0,(주)동서개발,HT001,102.49,78.94,77,3,2,6,계단식,125100.0,363690.0,25020.0,213570.0,0.0,0.0,0.0,19750.0,163710,171944,,,,,대구영선초등학교,공립,171.0,156.0
3,교대역동서프라임36.5,107C㎡,대구시 남구 대명동 3060,대구시 남구 이천로19길 81,35.850993,128.594397,268.0,0.0,18.0,8.0,228,21,342.0,(주)동서개발,HT001,107.58,84.78,79,3,2,31,계단식,135900.0,384210.0,27180.0,221130.0,0.0,0.0,0.0,,175812,184655,"4억 1,000~5억 8,000",3억,,,대구영선초등학교,공립,171.0,156.0
4,교대역동서프라임36.5,110B㎡,대구시 남구 대명동 3060,대구시 남구 이천로19길 81,35.850993,128.594397,268.0,0.0,18.0,8.0,228,21,342.0,(주)동서개발,HT001,110.35,84.33,76,3,2,76,계단식,135900.0,384210.0,27180.0,221130.0,0.0,0.0,0.0,,174881,183677,"3억 8,000~5억 1,000","2억 8,000~3억","2,000/120","2,000/120",대구영선초등학교,공립,171.0,156.0
5,교대역동서프라임36.5,112A,대구시 남구 대명동 3060,대구시 남구 이천로19길 81,35.850993,128.594397,268.0,0.0,18.0,8.0,228,21,342.0,(주)동서개발,HT001,112.35,84.94,76,3,2,72,계단식,139500.0,391050.0,27900.0,223650.0,0.0,0.0,0.0,,176148,185008,"3억 9,000~5억",,"2,000/100~5,000/80","2,000/100~5,000/80",대구영선초등학교,공립,171.0,156.0
0,교대역하늘채뉴센트원,51㎡,대구시 남구 대명동 1959-27번지 일대,대구시 남구 중앙대로 187,35.850156,128.588433,975.0,60.0,27.0,17.0,0,0,1268.0,코오롱글로벌(주),HT001,51.53,39.6,77,3,2,60,계단식,,,,,,,,,96523,57105,"2억 5,000~2억 8,000","1억 9,500~2억",,,남대구초등학교,공립,75.0,66.0
1,교대역하늘채뉴센트원,64㎡,대구시 남구 대명동 1959-27번지 일대,대구시 남구 중앙대로 187,35.850156,128.588433,975.0,60.0,27.0,17.0,0,0,1268.0,코오롱글로벌(주),HT001,64.48,49.74,77,2,1,160,계단식,,,,,,,,18000,121254,71736,"3억 460~3억 2,000","2억 3,000","3,000/85~3,000/90","3,000/85~3,000/90",남대구초등학교,공립,75.0,66.0
2,교대역하늘채뉴센트원,77㎡,대구시 남구 대명동 1959-27번지 일대,대구시 남구 중앙대로 187,35.850156,128.588433,975.0,60.0,27.0,17.0,0,0,1268.0,코오롱글로벌(주),HT001,77.68,59.84,77,3,2,105,계단식,,,,,,,,19000,145858,86293,"4억 1,000","2억 6,000",,,남대구초등학교,공립,75.0,66.0
3,교대역하늘채뉴센트원,96A㎡,대구시 남구 대명동 1959-27번지 일대,대구시 남구 중앙대로 187,35.850156,128.588433,975.0,60.0,27.0,17.0,0,0,1268.0,코오롱글로벌(주),HT001,96.46,74.72,77,3,2,216,계단식,,,,,,,,19750,182119,107745,,,,,남대구초등학교,공립,75.0,66.0
4,교대역하늘채뉴센트원,97B㎡,대구시 남구 대명동 1959-27번지 일대,대구시 남구 중앙대로 187,35.850156,128.588433,975.0,60.0,27.0,17.0,0,0,1268.0,코오롱글로벌(주),HT001,97.09,75.32,78,3,2,44,계단식,,,,,,,,,183597,108620,"4억 5,000",,,,남대구초등학교,공립,75.0,66.0
5,교대역하늘채뉴센트원,108,대구시 남구 대명동 1959-27번지 일대,대구시 남구 중앙대로 187,35.850156,128.588433,975.0,60.0,27.0,17.0,0,0,1268.0,코오롱글로벌(주),HT001,108.17,84.64,78,3,2,390,계단식,,,,,,,,,206304,122054,"5억 3,000~5억 7,000","3억 3,000","2,000/130","2,000/130",남대구초등학교,공립,75.0,66.0
0,궁전하이츠(주상복합),95,대구시 남구 대명동 3049-37,대구시 남구 두류공원로 83,35.844126,128.569288,18.0,0.0,11.0,11.0,283,43,14.0,,HT001,95.39,82.91,87,3,2,18,계단식,43800.0,155880.0,8760.0,103320.0,0.0,0.0,0.0,18000.0,,,2억,,,,대구성명초등학교,공립,125.0,152.0
0,글로리빌리지,60㎡,대구시 남구 대명동 2276-27,대구시 남구 명덕로10길 7,35.858515,128.576569,9.0,0.0,5.0,5.0,240,66,9.0,태인건설산업(주),HT001,60.04,49.74,83,2,1,1,계단식,,,,,,,,18000.0,,,,,,,대구내당초등학교,공립,152.0,146.0
1,글로리빌리지,72㎡,대구시 남구 대명동 2276-27,대구시 남구 명덕로10길 7,35.858515,128.576569,9.0,0.0,5.0,5.0,240,66,9.0,태인건설산업(주),HT001,72.68,60.07,83,3,1,4,계단식,,,,,,,,19000.0,,,,,,,대구내당초등학교,공립,152.0,146.0
2,글로리빌리지,75,대구시 남구 대명동 2276-27,대구시 남구 명덕로10길 7,35.858515,128.576569,9.0,0.0,5.0,5.0,240,66,9.0,태인건설산업(주),HT001,75.41,62.66,83,3,1,4,계단식,,,,,,,,19750.0,,,,,,,대구내당초등학교,공립,152.0,146.0
0,금강리치타운,101,대구시 남구 대명동 1607-11,대구시 남구 도촌길 138,35.840724,128.56518,17.0,0.0,9.0,9.0,197,29,20.0,갑우종합건설(주),HT001,101.8,84.07,83,3,2,17,계단식,46950.0,164070.0,9390.0,107730.0,0.0,0.0,0.0,18000.0,,,"2억 5,000",,,,대구대명초등학교,공립,280.0,248.0
0,금오,67A㎡,대구시 남구 대명동 3051-12,대구시 남구 두류공원로17길 39,35.844429,128.567995,51.0,0.0,5.0,3.0,0,0,0.0,,HT001,67.88,60.97,90,2,1,18,계단식,25425.0,101700.0,5085.0,71190.0,0.0,0.0,0.0,19000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
1,금오,67㎡,대구시 남구 대명동 3051-12,대구시 남구 두류공원로17길 39,35.844429,128.567995,51.0,0.0,5.0,3.0,0,0,0.0,,HT001,67.55,59.81,89,2,1,5,계단식,25425.0,101700.0,5085.0,71190.0,0.0,0.0,0.0,18000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
2,금오,68C㎡,대구시 남구 대명동 3051-12,대구시 남구 두류공원로17길 39,35.844429,128.567995,51.0,0.0,5.0,3.0,0,0,0.0,,HT001,68.75,60.87,89,2,1,10,계단식,25425.0,101700.0,5085.0,71190.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
3,금오,68B㎡,대구시 남구 대명동 3051-12,대구시 남구 두류공원로17길 39,35.844429,128.567995,51.0,0.0,5.0,3.0,0,0,0.0,,HT001,68.59,60.73,89,2,1,5,계단식,25425.0,101700.0,5085.0,71190.0,0.0,0.0,0.0,19750,,,"1억 3,000",,,,대구성명초등학교,공립,125.0,152.0
4,금오,70D㎡,대구시 남구 대명동 3051-12,대구시 남구 두류공원로17길 39,35.844429,128.567995,51.0,0.0,5.0,3.0,0,0,0.0,,HT001,70.13,62.1,89,2,1,5,계단식,26550.0,106200.0,5310.0,74340.0,0.0,0.0,0.0,,,,"1억 4,000",,"1억 1,000/10","1억 1,000/10",대구성명초등학교,공립,125.0,152.0
5,금오,81,대구시 남구 대명동 3051-12,대구시 남구 두류공원로17길 39,35.844429,128.567995,51.0,0.0,5.0,3.0,0,0,0.0,,HT001,81.55,72.2,89,3,2,8,계단식,30300.0,120780.0,6060.0,84420.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
0,나나바루아,71㎡,대구시 남구 대명동 1623-6,대구시 남구 대명복개로4길 104,35.839898,128.565428,96.0,0.0,14.0,9.0,0,0,105.0,금화종합건설(주),HT001,71.97,54.09,75,2,1,12,계단식,,,,,,,,19000.0,,,"2억 4,000~2억 5,000","1억 8,000",,,대구대명초등학교,공립,280.0,248.0
1,나나바루아,104㎡,대구시 남구 대명동 1623-6,대구시 남구 대명복개로4길 104,35.839898,128.565428,96.0,0.0,14.0,9.0,0,0,105.0,금화종합건설(주),HT001,104.24,84.85,81,3,2,36,계단식,,,,,,,,18000.0,,,"3억 1,000~3억 2,000",,"2,000/100","2,000/100",대구대명초등학교,공립,280.0,248.0
2,나나바루아,108A㎡,대구시 남구 대명동 1623-6,대구시 남구 대명복개로4길 104,35.839898,128.565428,96.0,0.0,14.0,9.0,0,0,105.0,금화종합건설(주),HT001,108.68,84.16,77,3,2,24,계단식,,,,,,,,19750.0,,,"3억 7,500","2억 2,000",,,대구대명초등학교,공립,280.0,248.0
3,나나바루아,110B,대구시 남구 대명동 1623-6,대구시 남구 대명복개로4길 104,35.839898,128.565428,96.0,0.0,14.0,9.0,0,0,105.0,금화종합건설(주),HT001,110.08,84.95,77,3,2,24,계단식,,,,,,,,,,,"3억 9,500",,,,대구대명초등학교,공립,280.0,248.0
0,노블캐슬,98㎡,대구시 남구 대명동 3029-42,대구시 남구 대경길 125,35.845307,128.57286,14.0,0.0,9.0,8.0,218,36,15.0,(주)삼영종합건설,HT001,98.94,80.95,82,3,2,12,계단식,51000.0,174600.0,10200.0,113400.0,0.0,0.0,0.0,18000.0,,,"2억 9,000",,,,대구성명초등학교,공립,125.0,152.0
1,노블캐슬,129,대구시 남구 대명동 3029-42,대구시 남구 대경길 125,35.845307,128.57286,14.0,0.0,9.0,8.0,218,36,15.0,(주)삼영종합건설,HT001,129.09,102.14,79,3,2,2,계단식,91950.0,281070.0,18390.0,170730.0,0.0,0.0,0.0,19000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
0,다채움(주상복합),104,대구시 남구 대명동 1921-7,대구시 남구 현충로 202,35.850592,128.581656,16.0,0.0,10.0,10.0,336,50,16.0,(주)세보종합건설,HT001,104.15,84.81,81,3,2,16,계단식,,,,,,,,18000.0,,,"2억 8,000",,,,남대구초등학교,공립,75.0,66.0
0,대명,101,대구시 남구 대명동 3007-34,대구시 남구 대경길 222,35.846575,128.577365,40.0,0.0,5.0,5.0,0,0,21.0,,HT001,101.44,84.98,84,3,2,40,계단식,28800.0,115200.0,5760.0,80640.0,0.0,0.0,0.0,19000.0,,,"1억 8,500~2억 1,000",,,,대구남도초등학교,공립,290.0,237.0
0,대명드림힐츠,79㎡,대구시 남구 대명동 457-8,대구시 남구 자유5길 58,35.837611,128.581781,8.0,0.0,5.0,5.0,212,42,8.0,주식회사동우종합건설,HT001,79.36,63.6,80,3,1,4,계단식,,,,,,,,18000.0,,,,,,,대구남명초등학교,공립,96.0,87.0
1,대명드림힐츠,84,대구시 남구 대명동 457-8,대구시 남구 자유5길 58,35.837611,128.581781,8.0,0.0,5.0,5.0,212,42,8.0,주식회사동우종합건설,HT001,84.4,67.81,80,3,2,4,계단식,,,,,,,,19000.0,,,,,,,대구남명초등학교,공립,96.0,87.0
0,대명세광그린타운,63㎡,대구시 남구 대명동 329-13,대구시 남구 현충로26길 67,35.8442,128.58363,114.0,0.0,20.0,15.0,336,26,116.0,"세광주택,세광종합건설(주)",HT001,63.95,45.36,71,2,1,14,복도식,23850.0,95400.0,4770.0,66780.0,0.0,0.0,0.0,18000.0,,,,,,,대구남도초등학교,공립,290.0,237.0
1,대명세광그린타운,84㎡,대구시 남구 대명동 329-13,대구시 남구 현충로26길 67,35.8442,128.58363,114.0,0.0,20.0,15.0,336,26,116.0,"세광주택,세광종합건설(주)",HT001,84.3,59.79,71,3,1,40,복도식,35700.0,134820.0,7140.0,91980.0,0.0,0.0,0.0,19000.0,,,"1억 9,000",,,,대구남도초등학교,공립,290.0,237.0
2,대명세광그린타운,108A㎡,대구시 남구 대명동 329-13,대구시 남구 현충로26길 67,35.8442,128.58363,114.0,0.0,20.0,15.0,336,26,116.0,"세광주택,세광종합건설(주)",HT001,108.17,84.9,78,3,2,40,계단식,60450.0,199170.0,12090.0,126630.0,0.0,0.0,0.0,19750.0,,,"2억 8,000",,,,대구남도초등학교,공립,290.0,237.0
3,대명세광그린타운,124B,대구시 남구 대명동 329-13,대구시 남구 현충로26길 67,35.8442,128.58363,114.0,0.0,20.0,15.0,336,26,116.0,"세광주택,세광종합건설(주)",HT001,124.13,84.9,68,3,2,20,계단식,60450.0,199170.0,12090.0,126630.0,0.0,0.0,0.0,,,,"2억 4,000","1억 5,000~1억 7,000","5,000/50","5,000/50",대구남도초등학교,공립,290.0,237.0
0,대명아트,75,대구시 남구 대명동 1664-8,대구시 남구 장전5길 42,35.843352,128.576754,6.0,0.0,4.0,4.0,218,59,6.0,서경건설(주),HT001,75.94,64.26,85,3,1,6,계단식,,,,,,,,18000.0,,,,,,,대구남도초등학교,공립,290.0,237.0
0,대명역센트럴엘리프,79㎡,대구시 남구 대명동 3072,대구시 남구 대명로14길 60,35.836475,128.563742,1051.0,0.0,29.0,22.0,234,13,1439.0,계룡건설(주),HT001,79.42,59.97,76,3,2,55,계단식,,,,,,,,18000.0,133017,0,,,"2,000/100","2,000/100",대구대명초등학교,공립,280.0,248.0
1,대명역센트럴엘리프,98㎡,대구시 남구 대명동 3072,대구시 남구 대명로14길 60,35.836475,128.563742,1051.0,0.0,29.0,22.0,234,13,1439.0,계룡건설(주),HT001,98.36,74.92,76,3,2,57,계단식,,,,,,,,19000.0,166177,0,"5억 5,000~5억 7,000",,,,대구대명초등학교,공립,280.0,248.0
2,대명역센트럴엘리프,110A㎡,대구시 남구 대명동 3072,대구시 남구 대명로14길 60,35.836475,128.563742,1051.0,0.0,29.0,22.0,234,13,1439.0,계룡건설(주),HT001,110.67,84.62,76,3,2,508,계단식,,,,,,,,19750.0,187731,0,"4억 6,000~5억 8,000",,"5,000/100","5,000/100",대구대명초등학교,공립,280.0,248.0
3,대명역센트럴엘리프,110B㎡,대구시 남구 대명동 3072,대구시 남구 대명로14길 60,35.836475,128.563742,1051.0,0.0,29.0,22.0,234,13,1439.0,계룡건설(주),HT001,110.62,84.91,77,3,2,236,계단식,,,,,,,,,188790,0,"5억 2,000~5억 5,500",3억,,,대구대명초등학교,공립,280.0,248.0
4,대명역센트럴엘리프,111C㎡,대구시 남구 대명동 3072,대구시 남구 대명로14길 60,35.836475,128.563742,1051.0,0.0,29.0,22.0,234,13,1439.0,계룡건설(주),HT001,111.38,84.91,76,3,2,54,계단식,,,,,,,,,188790,0,"5억~5억 6,000",,,,대구대명초등학교,공립,280.0,248.0
5,대명역센트럴엘리프,149,대구시 남구 대명동 3072,대구시 남구 대명로14길 60,35.836475,128.563742,1051.0,0.0,29.0,22.0,234,13,1439.0,계룡건설(주),HT001,149.52,114.71,77,3,2,141,계단식,,,,,,,,,254875,0,"6억 3,000~7억 6,000","4억~4억 5,000",,,대구대명초등학교,공립,280.0,248.0
0,대명이파크(주상복합),103㎡,대구시 남구 대명동 3042-32,대구시 남구 성당로 142,35.847601,128.568295,52.0,0.0,16.0,12.0,480,52,56.0,태일종합건설주식회사,HT001,103.55,80.26,78,3,2,28,계단식,39750.0,145350.0,7950.0,97650.0,0.0,0.0,0.0,18000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
1,대명이파크(주상복합),105㎡,대구시 남구 대명동 3042-32,대구시 남구 성당로 142,35.847601,128.568295,52.0,0.0,16.0,12.0,480,52,56.0,태일종합건설주식회사,HT001,105.62,84.96,80,3,2,10,계단식,40650.0,147690.0,8130.0,98910.0,0.0,0.0,0.0,19750.0,,,,,,,대구성명초등학교,공립,125.0,152.0
2,대명이파크(주상복합),134㎡,대구시 남구 대명동 3042-32,대구시 남구 성당로 142,35.847601,128.568295,52.0,0.0,16.0,12.0,480,52,56.0,태일종합건설주식회사,HT001,134.28,107.26,80,4,2,10,계단식,51000.0,174600.0,10200.0,113400.0,0.0,0.0,0.0,19000.0,,,"3억 4,000",,,,대구성명초등학교,공립,125.0,152.0
3,대명이파크(주상복합),146,대구시 남구 대명동 3042-32,대구시 남구 성당로 142,35.847601,128.568295,52.0,0.0,16.0,12.0,480,52,56.0,태일종합건설주식회사,HT001,146.8,107.26,73,3,2,4,계단식,,,,,,,,,,,,,,,대구성명초등학교,공립,125.0,152.0
0,대명하늘처럼,53㎡,대구시 남구 대명동 1624-12,대구시 남구 대명복개로4길 158,35.840058,128.56855,12.0,0.0,5.0,5.0,187,59,12.0,유승토건주식회사,HT001,53.33,43.22,81,1,1,8,계단식,64500.0,165600.0,12900.0,88200.0,0.0,0.0,0.0,18000.0,,,,,,,대구대명초등학교,공립,280.0,248.0
1,대명하늘처럼,58,대구시 남구 대명동 1624-12,대구시 남구 대명복개로4길 158,35.840058,128.56855,12.0,0.0,5.0,5.0,187,59,12.0,유승토건주식회사,HT001,58.12,47.1,81,1,1,4,계단식,69900.0,177120.0,13980.0,93240.0,0.0,0.0,0.0,19000.0,,,"1억 7,500",,,,대구대명초등학교,공립,280.0,248.0
0,대명하이츠,33㎡,대구시 남구 대명동 3000-12,대구시 남구 양지남길 57,35.850606,128.576646,13.0,0.0,7.0,7.0,221,38,8.0,하선종합건설(주),HT001,33.05,28.65,87,2,1,1,계단식,11543.0,46171.0,2309.0,32319.0,0.0,0.0,0.0,18000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
